,Source,Sink,Time,Value
0,SDGE,SDGE,1,0.0
1,SDGE,SDGE,2,0.0
2,SDGE,SDGE,3,0.0
3,SDGE,SDGE,4,0.0
4,SDGE,SDGE,5,0.0
5,SDGE,SDGE,6,0.0
6,SDGE,SDGE,7,0.0
7,SDGE,SDGE,8,0.0
8,SDGE,SDGE,9,0.0
9,SDGE,SDGE,10,0.0
10,SDGE,SDGE,11,0.0
11,SDGE,SDGE,12,0.0
12,SDGE,SDGE,13,0.0
13,SDGE,SDGE,14,0.0
14,SDGE,SDGE,15,0.0
15,SDGE,SDGE,16,0.0
16,SDGE,SDGE,17,0.0
17,SDGE,SDGE,18,0.0
18,SDGE,SDGE,19,0.0
19,SDGE,SDGE,20,0.0
20,SDGE,SDGE,21,0.0
21,SDGE,SDGE,22,0.0
22,SDGE,SDGE,23,0.0
23,SDGE,SDGE,24,0.0
24,SDGE,SCE,1,0.0
25,SDGE,SCE,2,0.0
26,SDGE,SCE,3,0.0
27,SDGE,SCE,4,0.0
28,SDGE,SCE,5,0.0
29,SDGE,SCE,6,0.0
30,SDGE,SCE,7,0.0
31,SDGE,SCE,8,0.0
32,SDGE,SCE,9,0.0
33,SDGE,SCE,10,0.0
34,SDGE,SCE,11,0.0
35,SDGE,SCE,12,0.0
36,SDGE,SCE,13,0.0
37,SDGE,SCE,14,0.0
38,SDGE,SCE,15,0.0
39,SDGE,SCE,16,0.0
40,SDGE,SCE,17,0.0
41,SDGE,SCE,18,0.0
42,SDGE,SCE,19,0.0
43,SDGE,SCE,20,0.0
44,SDGE,SCE,21,0.0
45,SDGE,SCE,22,0.0
46,SDGE,SCE,23,0.0
47,SDGE,SCE,24,0.0
48,SDGE,PGE_bay,1,0.0
49,SDGE,PGE_bay,2,0.0
50,SDGE,PGE_bay,3,0.0
51,SDGE,PGE_bay,4,0.0
52,SDGE,PGE_bay,5,0.0
53,SDGE,PGE_bay,6,0.0
54,SDGE,PGE_bay,7,0.0
55,SDGE,PGE_bay,8,0.0
56,SDGE,PGE_bay,9,0.0
57,SDGE,PGE_bay,10,0.0
58,SDGE,PGE_bay,11,0.0
59,SDGE,PGE_bay,12,0.0
60,SDGE,PGE_bay,13,0.0
61,SDGE,PGE_bay,14,0.0
62,SDGE,PGE_bay,15,0.0
63,SDGE,PGE_bay,16,0.0
64,SDGE,PGE_bay,17,0.0
65,SDGE,PGE_bay,18,0.0
66,SDGE,PGE_bay,19,0.0
67,SDGE,PGE_bay,20,0.0
68,SDGE,PGE_bay,21,0.0
69,SDGE,PGE_bay,22,0.0
70,SDGE,PGE_bay,23,0.0
71,SDGE,PGE_bay,24,0.0
72,SDGE,PGE_valley,1,0.0
73,SDGE,PGE_valley,2,0.0
74,SDGE,PGE_valley,3,0.0
75,SDGE,PGE_valley,4,0.0
76,SDGE,PGE_valley,5,0.0
77,SDGE,PGE_valley,6,0.0
78,SDGE,PGE_valley,7,0.0
79,SDGE,PGE_valley,8,0.0
80,SDGE,PGE_valley,9,0.0
81,SDGE,PGE_valley,10,0.0
82,SDGE,PGE_valley,11,0.0
83,SDGE,PGE_valley,12,0.0
84,SDGE,PGE_valley,13,0.0
85,SDGE,PGE_valley,14,0.0
86,SDGE,PGE_valley,15,0.0
87,SDGE,PGE_valley,16,0.0
88,SDGE,PGE_valley,17,0.0
89,SDGE,PGE_valley,18,0.0
90,SDGE,PGE_valley,19,0.0
91,SDGE,PGE_valley,20,0.0
92,SDGE,PGE_valley,21,0.0
93,SDGE,PGE_valley,22,0.0
94,SDGE,PGE_valley,23,0.0
95,SDGE,PGE_valley,24,0.0
96,SCE,SDGE,1,0.0
97,SCE,SDGE,2,0.0
98,SCE,SDGE,3,0.0
99,SCE,SDGE,4,0.0
100,SCE,SDGE,5,0.0
101,SCE,SDGE,6,0.0
102,SCE,SDGE,7,0.0
103,SCE,SDGE,8,0.0
104,SCE,SDGE,9,0.0
105,SCE,SDGE,10,0.0
106,SCE,SDGE,11,0.0
107,SCE,SDGE,12,0.0
108,SCE,SDGE,13,0.0
109,SCE,SDGE,14,0.0
110,SCE,SDGE,15,0.0
111,SCE,SDGE,16,0.0
112,SCE,SDGE,17,0.0
113,SCE,SDGE,18,194.98145533482972
114,SCE,SDGE,19,483.3607391751781
115,SCE,SDGE,20,600.0
116,SCE,SDGE,21,600.0000000000006
117,SCE,SDGE,22,587.7952592451106
118,SCE,SDGE,23,368.8344663066304
119,SCE,SDGE,24,125.79925773015003
120,SCE,SCE,1,0.0
121,SCE,SCE,2,0.0
122,SCE,SCE,3,0.0
123,SCE,SCE,4,0.0
124,SCE,SCE,5,0.0
125,SCE,SCE,6,0.0
126,SCE,SCE,7,0.0
127,SCE,SCE,8,0.0
128,SCE,SCE,9,0.0
129,SCE,SCE,10,0.0
130,SCE,SCE,11,0.0
131,SCE,SCE,12,0.0
132,SCE,SCE,13,0.0
133,SCE,SCE,14,0.0
134,SCE,SCE,15,0.0
135,SCE,SCE,16,0.0
136,SCE,SCE,17,0.0
137,SCE,SCE,18,0.0
138,SCE,SCE,19,0.0
139,SCE,SCE,20,0.0
140,SCE,SCE,21,0.0
141,SCE,SCE,22,0.0
142,SCE,SCE,23,0.0
143,SCE,SCE,24,0.0
144,SCE,PGE_bay,1,0.0
145,SCE,PGE_bay,2,0.0
146,SCE,PGE_bay,3,0.0
147,SCE,PGE_bay,4,0.0
148,SCE,PGE_bay,5,0.0
149,SCE,PGE_bay,6,0.0
150,SCE,PGE_bay,7,0.0
151,SCE,PGE_bay,8,0.0
152,SCE,PGE_bay,9,0.0
153,SCE,PGE_bay,10,0.0
154,SCE,PGE_bay,11,0.0
155,SCE,PGE_bay,12,0.0
156,SCE,PGE_bay,13,0.0
157,SCE,PGE_bay,14,0.0
158,SCE,PGE_bay,15,0.0
159,SCE,PGE_bay,16,0.0
160,SCE,PGE_bay,17,0.0
161,SCE,PGE_bay,18,0.0
162,SCE,PGE_bay,19,0.0
163,SCE,PGE_bay,20,0.0
164,SCE,PGE_bay,21,0.0
165,SCE,PGE_bay,22,0.0
166,SCE,PGE_bay,23,0.0
167,SCE,PGE_bay,24,0.0
168,SCE,PGE_valley,1,0.0
169,SCE,PGE_valley,2,0.0
170,SCE,PGE_valley,3,0.0
171,SCE,PGE_valley,4,0.0
172,SCE,PGE_valley,5,0.0
173,SCE,PGE_valley,6,0.0
174,SCE,PGE_valley,7,0.0
175,SCE,PGE_valley,8,0.0
176,SCE,PGE_valley,9,0.0
177,SCE,PGE_valley,10,0.0
178,SCE,PGE_valley,11,0.0
179,SCE,PGE_valley,12,0.0
180,SCE,PGE_valley,13,0.0
181,SCE,PGE_valley,14,0.0
182,SCE,PGE_valley,15,0.0
183,SCE,PGE_valley,16,0.0
184,SCE,PGE_valley,17,0.0
185,SCE,PGE_valley,18,0.0
186,SCE,PGE_valley,19,0.0
187,SCE,PGE_valley,20,0.0
188,SCE,PGE_valley,21,0.0
189,SCE,PGE_valley,22,0.0
190,SCE,PGE_valley,23,0.0
191,SCE,PGE_valley,24,0.0
192,PGE_bay,SDGE,1,0.0
193,PGE_bay,SDGE,2,0.0
194,PGE_bay,SDGE,3,0.0
195,PGE_bay,SDGE,4,0.0
196,PGE_bay,SDGE,5,0.0
197,PGE_bay,SDGE,6,0.0
198,PGE_bay,SDGE,7,0.0
199,PGE_bay,SDGE,8,0.0
200,PGE_bay,SDGE,9,0.0
201,PGE_bay,SDGE,10,0.0
202,PGE_bay,SDGE,11,0.0
203,PGE_bay,SDGE,12,0.0
204,PGE_bay,SDGE,13,0.0
205,PGE_bay,SDGE,14,0.0
206,PGE_bay,SDGE,15,0.0
207,PGE_bay,SDGE,16,0.0
208,PGE_bay,SDGE,17,0.0
209,PGE_bay,SDGE,18,0.0
210,PGE_bay,SDGE,19,0.0
211,PGE_bay,SDGE,20,0.0
212,PGE_bay,SDGE,21,0.0
213,PGE_bay,SDGE,22,0.0
214,PGE_bay,SDGE,23,0.0
215,PGE_bay,SDGE,24,0.0
216,PGE_bay,SCE,1,0.0
217,PGE_bay,SCE,2,0.0
218,PGE_bay,SCE,3,0.0
219,PGE_bay,SCE,4,0.0
220,PGE_bay,SCE,5,0.0
221,PGE_bay,SCE,6,0.0
222,PGE_bay,SCE,7,0.0
223,PGE_bay,SCE,8,0.0
224,PGE_bay,SCE,9,0.0
225,PGE_bay,SCE,10,0.0
226,PGE_bay,SCE,11,0.0
227,PGE_bay,SCE,12,0.0
228,PGE_bay,SCE,13,0.0
229,PGE_bay,SCE,14,0.0
230,PGE_bay,SCE,15,0.0
231,PGE_bay,SCE,16,0.0
232,PGE_bay,SCE,17,0.0
233,PGE_bay,SCE,18,0.0
234,PGE_bay,SCE,19,0.0
235,PGE_bay,SCE,20,0.0
236,PGE_bay,SCE,21,0.0
237,PGE_bay,SCE,22,0.0
238,PGE_bay,SCE,23,0.0
239,PGE_bay,SCE,24,0.0
240,PGE_bay,PGE_bay,1,0.0
241,PGE_bay,PGE_bay,2,0.0
242,PGE_bay,PGE_bay,3,0.0
243,PGE_bay,PGE_bay,4,0.0
244,PGE_bay,PGE_bay,5,0.0
245,PGE_bay,PGE_bay,6,0.0
246,PGE_bay,PGE_bay,7,0.0
247,PGE_bay,PGE_bay,8,0.0
248,PGE_bay,PGE_bay,9,0.0
249,PGE_bay,PGE_bay,10,0.0
250,PGE_bay,PGE_bay,11,0.0
251,PGE_bay,PGE_bay,12,0.0
252,PGE_bay,PGE_bay,13,0.0
253,PGE_bay,PGE_bay,14,0.0
254,PGE_bay,PGE_bay,15,0.0
255,PGE_bay,PGE_bay,16,0.0
256,PGE_bay,PGE_bay,17,0.0
257,PGE_bay,PGE_bay,18,0.0
258,PGE_bay,PGE_bay,19,0.0
259,PGE_bay,PGE_bay,20,0.0
260,PGE_bay,PGE_bay,21,0.0
261,PGE_bay,PGE_bay,22,0.0
262,PGE_bay,PGE_bay,23,0.0
263,PGE_bay,PGE_bay,24,0.0
264,PGE_bay,PGE_valley,1,0.0
265,PGE_bay,PGE_valley,2,0.0
266,PGE_bay,PGE_valley,3,0.0
267,PGE_bay,PGE_valley,4,0.0
268,PGE_bay,PGE_valley,5,0.0
269,PGE_bay,PGE_valley,6,0.0
270,PGE_bay,PGE_valley,7,0.0
271,PGE_bay,PGE_valley,8,0.0
272,PGE_bay,PGE_valley,9,0.0
273,PGE_bay,PGE_valley,10,0.0
274,PGE_bay,PGE_valley,11,0.0
275,PGE_bay,PGE_valley,12,0.0
276,PGE_bay,PGE_valley,13,0.0
277,PGE_bay,PGE_valley,14,0.0
278,PGE_bay,PGE_valley,15,0.0
279,PGE_bay,PGE_valley,16,0.0
280,PGE_bay,PGE_valley,17,0.0
281,PGE_bay,PGE_valley,18,0.0
282,PGE_bay,PGE_valley,19,0.0
283,PGE_bay,PGE_valley,20,0.0
284,PGE_bay,PGE_valley,21,0.0
285,PGE_bay,PGE_valley,22,0.0
286,PGE_bay,PGE_valley,23,0.0
287,PGE_bay,PGE_valley,24,0.0
288,PGE_valley,SDGE,1,0.0
289,PGE_valley,SDGE,2,0.0
290,PGE_valley,SDGE,3,0.0
291,PGE_valley,SDGE,4,0.0
292,PGE_valley,SDGE,5,0.0
293,PGE_valley,SDGE,6,0.0
294,PGE_valley,SDGE,7,0.0
295,PGE_valley,SDGE,8,0.0
296,PGE_valley,SDGE,9,0.0
297,PGE_valley,SDGE,10,0.0
298,PGE_valley,SDGE,11,0.0
299,PGE_valley,SDGE,12,0.0
300,PGE_valley,SDGE,13,0.0
301,PGE_valley,SDGE,14,0.0
302,PGE_valley,SDGE,15,0.0
303,PGE_valley,SDGE,16,0.0
304,PGE_valley,SDGE,17,0.0
305,PGE_valley,SDGE,18,0.0
306,PGE_valley,SDGE,19,0.0
307,PGE_valley,SDGE,20,0.0
308,PGE_valley,SDGE,21,0.0
309,PGE_valley,SDGE,22,0.0
310,PGE_valley,SDGE,23,0.0
311,PGE_valley,SDGE,24,0.0
312,PGE_valley,SCE,1,0.0
313,PGE_valley,SCE,2,0.0
314,PGE_valley,SCE,3,0.0
315,PGE_valley,SCE,4,0.0
316,PGE_valley,SCE,5,0.0
317,PGE_valley,SCE,6,0.0
318,PGE_valley,SCE,7,0.0
319,PGE_valley,SCE,8,0.0
320,PGE_valley,SCE,9,0.0
321,PGE_valley,SCE,10,0.0
322,PGE_valley,SCE,11,0.0
323,PGE_valley,SCE,12,0.0
324,PGE_valley,SCE,13,0.0
325,PGE_valley,SCE,14,0.0
326,PGE_valley,SCE,15,0.0
327,PGE_valley,SCE,16,0.0
328,PGE_valley,SCE,17,0.0
329,PGE_valley,SCE,18,0.0
330,PGE_valley,SCE,19,449.94896242293447
331,PGE_valley,SCE,20,1040.694223768187
332,PGE_valley,SCE,21,601.1637628526954
333,PGE_valley,SCE,22,14.923630676389621
334,PGE_valley,SCE,23,0.0
335,PGE_valley,SCE,24,0.0
336,PGE_valley,PGE_bay,1,3167.7822050976324
337,PGE_valley,PGE_bay,2,3015.0521476735844
338,PGE_valley,PGE_bay,3,2849.474702806127
339,PGE_valley,PGE_bay,4,2735.9885407455195
340,PGE_valley,PGE_bay,5,2773.982497786801
341,PGE_valley,PGE_bay,6,2794.151940385738
342,PGE_valley,PGE_bay,7,2863.8278315965326
343,PGE_valley,PGE_bay,8,3261.7283086275884
344,PGE_valley,PGE_bay,9,3493.673178995878
345,PGE_valley,PGE_bay,10,3691.6778096574744
346,PGE_valley,PGE_bay,11,3746.172312023684
347,PGE_valley,PGE_bay,12,3656.239404173137
348,PGE_valley,PGE_bay,13,3585.5663193001296
349,PGE_valley,PGE_bay,14,3380.5904842670816
350,PGE_valley,PGE_bay,15,3498.182048790047
351,PGE_valley,PGE_bay,16,3486.8760410565665
352,PGE_valley,PGE_bay,17,3520.3557560411764
353,PGE_valley,PGE_bay,18,3773.741294043795
354,PGE_valley,PGE_bay,19,4340.42873421027
355,PGE_valley,PGE_bay,20,4372.185479520093
356,PGE_valley,PGE_bay,21,4333.983478701174
357,PGE_valley,PGE_bay,22,4116.634563887318
358,PGE_valley,PGE_bay,23,3862.9106174103886
359,PGE_valley,PGE_bay,24,3521.7043600749626
360,PGE_valley,PGE_valley,1,0.0
361,PGE_valley,PGE_valley,2,0.0
362,PGE_valley,PGE_valley,3,0.0
363,PGE_valley,PGE_valley,4,0.0
364,PGE_valley,PGE_valley,5,0.0
365,PGE_valley,PGE_valley,6,0.0
366,PGE_valley,PGE_valley,7,0.0
367,PGE_valley,PGE_valley,8,0.0
368,PGE_valley,PGE_valley,9,0.0
369,PGE_valley,PGE_valley,10,0.0
370,PGE_valley,PGE_valley,11,0.0
371,PGE_valley,PGE_valley,12,0.0
372,PGE_valley,PGE_valley,13,0.0
373,PGE_valley,PGE_valley,14,0.0
374,PGE_valley,PGE_valley,15,0.0
375,PGE_valley,PGE_valley,16,0.0
376,PGE_valley,PGE_valley,17,0.0
377,PGE_valley,PGE_valley,18,0.0
378,PGE_valley,PGE_valley,19,0.0
379,PGE_valley,PGE_valley,20,0.0
380,PGE_valley,PGE_valley,21,0.0
381,PGE_valley,PGE_valley,22,0.0
382,PGE_valley,PGE_valley,23,0.0
383,PGE_valley,PGE_valley,24,0.0
384,SDGE,SDGE,25,0.0
385,SDGE,SDGE,26,0.0
386,SDGE,SDGE,27,0.0
387,SDGE,SDGE,28,0.0
388,SDGE,SDGE,29,0.0
389,SDGE,SDGE,30,0.0
390,SDGE,SDGE,31,0.0
391,SDGE,SDGE,32,0.0
392,SDGE,SDGE,33,0.0
393,SDGE,SDGE,34,0.0
394,SDGE,SDGE,35,0.0
395,SDGE,SDGE,36,0.0
396,SDGE,SDGE,37,0.0
397,SDGE,SDGE,38,0.0
398,SDGE,SDGE,39,0.0
399,SDGE,SDGE,40,0.0
400,SDGE,SDGE,41,0.0
401,SDGE,SDGE,42,0.0
402,SDGE,SDGE,43,0.0
403,SDGE,SDGE,44,0.0
404,SDGE,SDGE,45,0.0
405,SDGE,SDGE,46,0.0
406,SDGE,SDGE,47,0.0
407,SDGE,SDGE,48,0.0
408,SDGE,SCE,25,0.0
409,SDGE,SCE,26,0.0
410,SDGE,SCE,27,0.0
411,SDGE,SCE,28,0.0
412,SDGE,SCE,29,0.0
413,SDGE,SCE,30,0.0
414,SDGE,SCE,31,0.0
415,SDGE,SCE,32,0.0
416,SDGE,SCE,33,0.0
417,SDGE,SCE,34,0.0
418,SDGE,SCE,35,0.0
419,SDGE,SCE,36,0.0
420,SDGE,SCE,37,0.0
421,SDGE,SCE,38,0.0
422,SDGE,SCE,39,0.0
423,SDGE,SCE,40,0.0
424,SDGE,SCE,41,0.0
425,SDGE,SCE,42,0.0
426,SDGE,SCE,43,0.0
427,SDGE,SCE,44,0.0
428,SDGE,SCE,45,0.0
429,SDGE,SCE,46,0.0
430,SDGE,SCE,47,0.0
431,SDGE,SCE,48,0.0
432,SDGE,PGE_bay,25,0.0
433,SDGE,PGE_bay,26,0.0
434,SDGE,PGE_bay,27,0.0
435,SDGE,PGE_bay,28,0.0
436,SDGE,PGE_bay,29,0.0
437,SDGE,PGE_bay,30,0.0
438,SDGE,PGE_bay,31,0.0
439,SDGE,PGE_bay,32,0.0
440,SDGE,PGE_bay,33,0.0
441,SDGE,PGE_bay,34,0.0
442,SDGE,PGE_bay,35,0.0
443,SDGE,PGE_bay,36,0.0
444,SDGE,PGE_bay,37,0.0
445,SDGE,PGE_bay,38,0.0
446,SDGE,PGE_bay,39,0.0
447,SDGE,PGE_bay,40,0.0
448,SDGE,PGE_bay,41,0.0
449,SDGE,PGE_bay,42,0.0
450,SDGE,PGE_bay,43,0.0
451,SDGE,PGE_bay,44,0.0
452,SDGE,PGE_bay,45,0.0
453,SDGE,PGE_bay,46,0.0
454,SDGE,PGE_bay,47,0.0
455,SDGE,PGE_bay,48,0.0
456,SDGE,PGE_valley,25,0.0
457,SDGE,PGE_valley,26,0.0
458,SDGE,PGE_valley,27,0.0
459,SDGE,PGE_valley,28,0.0
460,SDGE,PGE_valley,29,0.0
461,SDGE,PGE_valley,30,0.0
462,SDGE,PGE_valley,31,0.0
463,SDGE,PGE_valley,32,0.0
464,SDGE,PGE_valley,33,0.0
465,SDGE,PGE_valley,34,0.0
466,SDGE,PGE_valley,35,0.0
467,SDGE,PGE_valley,36,0.0
468,SDGE,PGE_valley,37,0.0
469,SDGE,PGE_valley,38,0.0
470,SDGE,PGE_valley,39,0.0
471,SDGE,PGE_valley,40,0.0
472,SDGE,PGE_valley,41,0.0
473,SDGE,PGE_valley,42,0.0
474,SDGE,PGE_valley,43,0.0
475,SDGE,PGE_valley,44,0.0
476,SDGE,PGE_valley,45,0.0
477,SDGE,PGE_valley,46,0.0
478,SDGE,PGE_valley,47,0.0
479,SDGE,PGE_valley,48,0.0
480,SCE,SDGE,25,0.0
481,SCE,SDGE,26,0.0
482,SCE,SDGE,27,0.0
483,SCE,SDGE,28,0.0
484,SCE,SDGE,29,0.0
485,SCE,SDGE,30,0.0
486,SCE,SDGE,31,0.0
487,SCE,SDGE,32,0.0
488,SCE,SDGE,33,0.0
489,SCE,SDGE,34,0.0
490,SCE,SDGE,35,0.0
491,SCE,SDGE,36,0.0
492,SCE,SDGE,37,0.0
493,SCE,SDGE,38,0.0
494,SCE,SDGE,39,0.0
495,SCE,SDGE,40,0.0
496,SCE,SDGE,41,0.0
497,SCE,SDGE,42,175.98891213329526
498,SCE,SDGE,43,408.44062548245535
499,SCE,SDGE,44,550.4307244408333
500,SCE,SDGE,45,445.4755994510047
501,SCE,SDGE,46,376.61282153081913
502,SCE,SDGE,47,358.04343821006427
503,SCE,SDGE,48,122.88803060965857
504,SCE,SCE,25,0.0
505,SCE,SCE,26,0.0
506,SCE,SCE,27,0.0
507,SCE,SCE,28,0.0
508,SCE,SCE,29,0.0
509,SCE,SCE,30,0.0
510,SCE,SCE,31,0.0
511,SCE,SCE,32,0.0
512,SCE,SCE,33,0.0
513,SCE,SCE,34,0.0
514,SCE,SCE,35,0.0
515,SCE,SCE,36,0.0
516,SCE,SCE,37,0.0
517,SCE,SCE,38,0.0
518,SCE,SCE,39,0.0
519,SCE,SCE,40,0.0
520,SCE,SCE,41,0.0
521,SCE,SCE,42,0.0
522,SCE,SCE,43,0.0
523,SCE,SCE,44,0.0
524,SCE,SCE,45,0.0
525,SCE,SCE,46,0.0
526,SCE,SCE,47,0.0
527,SCE,SCE,48,0.0
528,SCE,PGE_bay,25,0.0
529,SCE,PGE_bay,26,0.0
530,SCE,PGE_bay,27,0.0
531,SCE,PGE_bay,28,0.0
